0 142.403540630783  147.535200079136 137.450373695944
0.1 139.994405024218  145.143085033749 135.028364827217
0.2 137.626026370361  142.789755406265 132.649034103355
0.3 135.297715156678  140.474582335355 130.311629494059
0.4 133.008793535579  138.196947155963 128.015412220536
0.5 130.758595127075  135.95624123398 125.75965652199
0.6 128.546464824769  133.751865803604 123.543649426236
0.7 126.371758605137  131.583231807339 121.366690524349
0.8 124.23384334003  129.449759738585 119.228091749287
0.9 122.132096612349  127.350879486778 117.127177158418
1 120.065906534842  125.286030185051 115.063282719876
1.1 118.03467157196  123.254660060351 113.035756102678
1.2 116.03780036473  121.256226285996 111.043956470547
1.3 114.074711558596  119.29019483662 109.087254279361
1.4 112.144833634163  117.35604034547 107.165031078178
1.5 110.247604740811  115.453245964015 105.27667931376
1.6 108.382472533121  113.581303223834 103.421602138545
1.7 106.54889401007  111.739711900742 101.599213222008
1.8 104.746335356945  109.927979881118 99.808936565331
1.9 102.974271789931  108.145623030403 98.0502063193577
2 101.232187403333  106.392165063728 96.3224666057409
2.1 99.5195750193742  104.667137418639 94.6251713412493
2.2 97.8359360405444  102.970079129889 92.9577840651678
2.3 96.1807803044383  101.300536706257 91.3197777697389
2.4 94.5536259410551  99.6580640093623 89.7106347335933
2.5 92.95399923251  98.0422221344535 88.1298463581139
2.6 91.3814344751192  96.4525792931168 86.5769130066846
2.7 89.8354738438189  94.8887106978956 85.0513438467708
2.8 88.3156672588767  93.3501984487778 83.5526566947833
2.9 86.821572254859  91.8366314215234 82.0803778636753
3 85.3527538518151  90.347605157803 80.6340420132249
3.1 83.9087844286398  88.8827217571181 79.2131920029563
3.2 82.4892435985792  87.441589770473 77.8173787476523
3.3 81.0937180868422  86.0238240957709 76.4461610754123
3.4 79.7218016102831  84.6290458749069 75.0991055882128
3.5 78.3730947591186  83.2568823925277 73.7757865249235
3.6 77.0472048806471  81.9069669764348 72.4757856267382
3.7 75.7437459649344  80.5789388996014 71.1986920049762
3.8 74.4623385324336  79.2724432837778 69.9441020112142
3.9 73.2026095235063  77.9871310046608 68.7116191097052
4 71.9641921898125  76.7226585985995 67.5008537520467
4.1 70.7467259875384  75.4786881708145 66.3114232540568
4.2 69.5498564724303  74.254887305105 65.1429516748199
4.3 68.3732351966038  73.0509289750199 63.9950696978639
4.4 67.2165196071001  71.8664914564691 62.8674145144312
4.5 66.0793729461566  70.7012582417517 61.7596297088061
4.6 64.9614641531667  69.5549179549784 60.6713651456635
4.7 63.8624677682964  68.4271642688648 59.6022768594024
4.8 62.7820638377326  67.3176958228742 58.5520269454291
4.9 61.7199378205344  66.2262161426874 57.5202834533565
5 60.6757804970594  65.1524335609782 56.5067202820851
5.1 59.6492878789399  64.0960611394735 55.5110170767333
5.2 58.6401611205824  63.0568165922771 54.5328591273828
5.3 57.648106432163  62.0344222104369 53.5719372696096
5.4 56.6728349940965  61.0286047877346 52.6279477867662
5.5 55.7140628729507  60.0390955476793 51.7005923139875
5.6 54.7715109387849  59.0656300716845 50.789577743886
5.7 53.8449047838853  58.1079482284095 49.8946161339112
5.8 52.9339746428766  57.1657941042467 49.0154246153391
5.9 52.0384553141839  56.2389159349359 48.1517253038671
6 51.1580860828242  55.3270660382872 47.3032452117836
6.1 50.2926106445035  54.4300007479951 46.4697161616849
6.2 49.4417770309988  53.5474803485253 45.6508747017135
6.3 48.6053375368008  52.6792690110576 44.8464620222889
6.4 47.7830486469999  51.8251347304674 44.0562238743063
6.5 46.9746709663904  50.9848492633283 43.279910488777
6.6 46.1799691497747  50.1581880669212 42.5172764978837
6.7 45.3987118334469  49.3449302392308 41.7680808574283
6.8 44.6306715678351  48.5448584599163 41.0320867706449
6.9 43.8756247512834  47.7577589322385 40.3090616133565
7 43.1333515649541  46.9834213259284 39.5987768604496
7.1 42.4036359088313  46.2216387209825 38.9010080136446
7.2 41.6862653388071  45.4722075523692 38.2155345305396
7.3 40.9810310048321  44.734927555632 37.5421397549034
7.4 40.2877275901126  44.0096017133739 36.8806108481978
7.5 39.6061532513357  43.2960362026105 36.2307387223062
7.6 38.9361095599064  42.5940403429762 35.592317973447
7.7 38.2774014441786  41.9034265457698 34.9651468172527
7.8 37.6298371326631  41.2240102638274 34.3490270249919
7.9 36.9932280981969  40.5556099422066 33.7437638609157
8 36.3673890030567  39.8980469696715 33.149166020708
8.1 35.7521376450008  39.2511456309638 32.5650455710201
8.2 35.1472949042245  38.6147330598477 31.9912178900713
8.3 34.5526846912121  37.9886391929162 31.4275016092956
8.4 33.9681338954715  37.3726967241467 30.8737185560169
8.5 33.3934723351363  36.7667410601929 30.3296936971347
8.6 32.8285327074202  36.1706102764019 29.7952550838013
8.7 32.2731505399096  35.5841450735446 29.2702337970744
8.8 31.7271641426801  35.0071887352471 28.7544638945274
8.9 31.1904145612239  34.4395870861127 28.2477823577999
9 30.6627455301724  33.8811884505233 27.7500290410735
9.1 30.1440034278022  33.3318436121077 27.261046620454
9.2 29.6340372313112  32.7914057738682 26.780680544247
9.3 29.1326984728507  32.2597305189529 26.3087789841087
9.4 28.6398411963015  31.7366757720646 25.8451927870582
9.5 28.1553219147812  31.2221017614949 25.3897754283344
9.6 27.6789995688709  30.7158709817745 24.9423829650849
9.7 27.2107354855477  30.2178481569282 24.5028739908696
9.8 26.7503933378127  29.7279002043269 24.0711095909673
9.9 26.2978391050017  29.2458961991242 23.6469532984688
10 25.8529410337674  28.7717073392709 23.230271051144
10.1 25.4155695997217  28.3052069110964 22.8209311490696
10.2 24.985597469727  27.8462702554474 22.4188042130024
10.3 24.562899464825  27.3947747343769 22.023763143487
10.4 24.1473525237935  26.9505996983724 21.6356830806837
10.5 23.7388356673189  26.5136264541155 21.2544413649042
10.6 23.3372299627753  26.0837382327647 20.8799174978429
10.7 22.9424184895993  25.6608201587521 20.5119931044911
10.8 22.5542863052507  25.2447592190862 20.1505518957227
10.9 22.1727204117487  24.8354442331523 19.7954796315386
11 21.7976097227748  24.4327658230026 19.4466640849593
11.1 21.4288450313315  24.0366163841279 19.1039950065535
