# Solution of general relativity problem
# Phi:, inverse r:, derivative of inverse r:, x:, y:
0.00000 1.00000 0.00000 1 0
0.20000 1.00000 0.00000 0.980066577841242 0.198669330795061
0.40000 1.00000 0.00000 0.921060994002885 0.389418342308651
0.60000 1.00000 0.00000 0.825335614909678 0.564642473395035
0.80000 1.00000 0.00000 0.696706709347165 0.717356090899523
1.00000 1.00000 0.00000 0.54030230586814 0.841470984807897
1.20000 1.00000 0.00000 0.362357754476674 0.932039085967226
1.40000 1.00000 0.00000 0.169967142900241 0.98544972998846
1.60000 1.00000 0.00000 -0.0291995223012886 0.999573603041505
1.80000 1.00000 0.00000 -0.227202094693087 0.973847630878195
2.00000 1.00000 0.00000 -0.416146836547142 0.909297426825682
2.20000 1.00000 0.00000 -0.588501117255345 0.80849640381959
2.40000 1.00000 0.00000 -0.737393715541245 0.675463180551151
2.60000 1.00000 0.00000 -0.856888753368947 0.515501371821464
2.80000 1.00000 0.00000 -0.942222340668658 0.334988150155905
3.00000 1.00000 0.00000 -0.989992496600446 0.141120008059867
3.20000 1.00000 0.00000 -0.998294775794753 -0.0583741434275805
3.40000 1.00000 0.00000 -0.966798192579461 -0.255541102026832
3.60000 1.00000 0.00000 -0.896758416334147 -0.442520443294853
3.80000 1.00000 0.00000 -0.790967711914416 -0.61185789094272
4.00000 1.00000 0.00000 -0.653643620863611 -0.756802495307929
4.20000 1.00000 0.00000 -0.490260821340699 -0.871575772413589
4.40000 1.00000 0.00000 -0.307332869978419 -0.951602073889516
4.60000 1.00000 0.00000 -0.112152526935053 -0.993691003633465
4.80000 1.00000 0.00000 0.0874989834394482 -0.996164608835841
5.00000 1.00000 0.00000 0.283662185463228 -0.958924274663138
5.20000 1.00000 0.00000 0.468516671300379 -0.883454655720152
5.40000 1.00000 0.00000 0.634692875942636 -0.772764487555986
5.60000 1.00000 0.00000 0.775565878510251 -0.63126663787232
5.80000 1.00000 0.00000 0.88551951694132 -0.464602179413755
6.00000 1.00000 0.00000 0.960170286650367 -0.279415498198923
6.20000 1.00000 0.00000 0.996542097023218 -0.0830894028174937
6.40000 1.00000 0.00000 0.993184918758192 0.116549204850496
6.60000 1.00000 0.00000 0.950232591958528 0.311541363513381
6.80000 1.00000 0.00000 0.869397490349823 0.494113351138611
7.00000 1.00000 0.00000 0.753902254343302 0.656986598718792
7.20000 1.00000 0.00000 0.608351314532252 0.793667863849155
7.40000 1.00000 0.00000 0.438547327574387 0.898708095811628
7.60000 1.00000 0.00000 0.251259842582251 0.967919672031487
7.80000 1.00000 0.00000 0.0539554205626453 0.998543345374605
8.00000 1.00000 0.00000 -0.145500033808617 0.989358246623381
8.20000 1.00000 0.00000 -0.339154860983838 0.940730556679772
8.40000 1.00000 0.00000 -0.519288654116687 0.85459890808828
8.60000 1.00000 0.00000 -0.678720047320014 0.734397097874112
8.80000 1.00000 0.00000 -0.811093014061656 0.584917192891762
9.00000 1.00000 0.00000 -0.911130261884677 0.412118485241757
9.20000 1.00000 0.00000 -0.974843621404164 0.222889914100248
9.40000 1.00000 0.00000 -0.999693042035206 0.0247754254533595
9.60000 1.00000 0.00000 -0.984687855794127 -0.174326781222978
9.80000 1.00000 0.00000 -0.930426272104755 -0.366479129251925
10.00000 1.00000 0.00000 -0.839071529076454 -0.544021110889367
10.20000 1.00000 0.00000 -0.714265652027203 -0.69987468759354
10.40000 1.00000 0.00000 -0.560984257427233 -0.827826469085651
